obs_id,interarrival_time
1,28.8505
2,28.0343
3,28.6171
4,3.3575
5,1.0372
6,17.4319
7,16.9195
8,37.4916
9,0.9515
10,12.5587
11,0.8452
12,13.0683
13,20.7759
14,4.6427
15,14.779
16,1.8453
17,1.0989
18,3.7822
19,10.8144
20,4.9558
21,14.9686
22,2.6829
23,22.0556
24,14.725
25,7.8696
26,5.005
27,5.4398
28,0.9249
29,2.1556
30,8.2238
31,4.6642
32,15.1705
33,8.5019
34,2.8552
35,5.5331
36,7.6987
37,4.126
38,3.8629
39,10.547
40,3.5634
41,16.0044
42,16.6904
43,13.009
44,0.8763
45,13.6088
46,16.2521
47,13.4645
48,3.3606
49,3.8512
50,1.9888
51,4.2524
52,0.2537
53,2.0083
54,15.7807
55,47.9491
56,6.7625
57,3.4085
58,4.7731
59,4.3361
60,1.5556
61,12.9999
62,16.5102
63,18.0937
64,63.7186
65,25.2799
66,19.7384
67,12.5219
68,7.1103
69,0.5334
70,11.4792
71,7.4566
72,18.0955
73,24.336
74,3.9848
75,0.597
76,11.0979
77,30.641
78,9.8529
79,25.5713
80,9.0362
81,15.7679
82,3.4654
83,1.613
84,1.7098
85,1.4122
86,0.6561
87,20.5991
88,5.3834
89,4.6336
90,11.2195
91,2.2472
92,23.0195
93,15.5035
94,3.9509
95,2.4071
96,6.3722
97,3.658
98,0.9089
99,6.0427
100,27.0225
101,12.1062
102,36.9889
103,24.5572
104,13.4147
105,22.2072
106,8.7232
107,12.8142
108,4.5626
109,2.6286
110,25.739
111,1.6836
112,2.2548
113,3.7229
114,11.61
115,4.9661
116,8.2138
117,25.9173
118,18.5006
119,14.055
120,2.0514
121,14.2731
122,5.4537
123,1.4852
124,4.7931
125,0.8467
126,10.981
127,11.6601
128,3.5316
129,0.5501
130,32.7517
131,9.6936
132,17.8569
133,4.2335
134,20.1168
135,19.6953
136,1.1176
137,65.1791
138,8.0832
139,16.7731
140,2.9244
141,11.8059
142,3.4349
143,19.3673
144,5.5569
145,9.3492
146,6.3368
147,9.0421
148,5.6676
149,7.3559
150,0.3447
151,19.0501
152,30.1158
153,6.9715
154,40.8491
155,2.017
156,33.4158
157,4.3723
158,8.0239
159,29.2439
160,1.5231
161,2.2918
162,16.1103
163,11.7885
164,3.4556
165,5.3203
166,8.9982
167,22.7971
168,4.2998
169,9.1808
170,4.2502
171,3.6518
172,25.6025
173,6.679
174,16.0731
175,3.6324
176,2.2324
177,13.7089
178,17.0094
179,11.4106
180,14.2482
181,12.2262
182,13.1035
183,27.0562
184,33.8816
185,7.9483
186,1.0889
187,16.8448
188,10.1543
189,29.2856
190,12.5337
191,1.6832
192,12.5905
193,6.8693
194,1.3816
195,3.2862
196,41.7125
197,4.8351
198,3.0971
199,5.3293
200,24.8083
201,13.066
202,2.3725
203,0.0976
204,5.2563
205,1.8075
206,24.8095
207,1.2791
208,8.2109
209,12.2103
210,34.4401
211,3.4857
212,20.8294
213,9.164
214,20.7602
215,4.2976
216,3.9932
217,3.0333
218,12.5268
219,7.7955
220,10.393
221,15.3939
222,13.8489
223,12.5436
224,16.785
225,0.4132
226,18.0593
227,15.6049
228,5.264
229,2.8767
230,8.5274
231,24.3083
232,3.9111
233,17.1995
234,35.6287
235,4.7859
236,51.6333
237,0.7248
238,0.4462
239,22.2877
240,7.7447
241,7.2726
242,23.5101
243,29.7
244,9.8913
245,25.2787
246,12.1256
247,6.0176
248,2.9195
249,16.5212
250,25.6906
251,32.0386
252,3.6241
253,12.3096
254,6.1596
255,20.5431
256,2.6486
257,0.7074
258,4.331
259,0.8479
260,5.6532
261,5.8546
262,1.3607
263,37.0468
264,3.6262
265,14.3612
266,2.4086
267,6.1052
268,1.0829
269,1.4141
270,0.1338
271,19.3844
272,4.2631
273,8.3116
274,10.4274
275,2.1578
276,35.1978
277,6.5597
278,0.9045
279,1.2965
280,5.956
281,1.5239
282,3.9159
283,8.92
284,0.498
285,4.3067
286,18.8387
287,0.8943
288,11.6443
289,0.6056
290,32.1373
291,3.0504
292,2.941
293,13.0813
294,27.1124
295,38.2528
296,16.5807
297,20.7313
298,13.1622
299,2.3104
300,13.9878
301,2.0026
302,11.87
303,9.2071
304,4.2908
305,8.5217
306,10.8271
307,2.7806
308,5.017
309,5.0727
310,1.3491
311,3.4757
312,12.3127
313,14.3411
314,6.8871
315,7.1993
316,4.7743
317,13.9994
318,4.8749
319,11.498
320,7.6813
321,7.2034
322,34.4791
323,25.7382
324,11.4474
325,14.3149
326,1.7756
327,5.562
328,15.6323
329,12.2761
330,2.8406
331,37.2701
332,0.4606
333,13.3604
334,1.1571
335,29.4876
336,1.039
337,18.6199
338,2.1729
339,54.4864
340,6.937
341,14.0914
342,11.7527
343,8.0387
344,17.3044
345,8.8802
346,32.8872
347,0.7326
348,64.3064
349,9.9341
350,3.5381
351,7.0388
352,14.9166
353,11.9618
354,25.0501
355,27.3089
356,11.3466
357,18.8918
358,8.0661
359,1.3802
360,6.5266
361,3.5282
362,23.6624
363,2.7468
364,15.2892
365,27.2738
366,1.6063
367,11.3923
368,31.3012
369,6.1919
370,5.9059
371,7.9685
372,2.4713
373,2.161
374,37.2846
375,28.8118
376,7.0662
377,3.8819
378,16.1299
379,52.1747
380,26.0075
381,5.833
382,7.9469
383,13.1462
384,9.0099
385,3.8888
386,3.8538
387,12.9972
388,41.9161
389,2.3001
390,14.2706
391,31.4962
392,0.1529
393,6.584
394,16.1752
395,27.281
396,33.8087
397,4.0081
398,0.8471
399,4.0965
400,9.7072
401,3.1774
402,5.1528
403,17.0276
404,0.2109
405,21.3185
406,0.2537
407,11.4906
408,0.7086
409,3.8406
410,7.0093
411,26.1035
412,2.5899
413,46.631
414,26.1383
415,0.9505
416,0.1072
417,2.0374
418,11.6957
419,74.0292
420,4.2623
421,16.7718
422,1.0066
423,18.7369
424,23.8578
425,26.6041
426,27.0096
427,19.7459
428,1.0175
429,9.8891
430,5.2361
431,5.6216
432,26.8034
433,25.8613
434,14.0327
435,3.0188
436,13.2293
437,3.4492
438,17.8145
439,2.3215
440,14.2052
441,5.7032
442,1.1339
443,16.5609
444,1.5233
445,51.2763
446,7.9063
447,4.2614
448,2.3933
449,8.7537
450,16.6934
451,21.3144
452,10.5485
453,40.6519
454,18.6192
455,2.1412
456,38.8333
457,4.8461
458,40.7998
459,3.7228
460,6.3102
461,13.7542
462,0.8842
463,31.6083
464,5.3835
465,3.1114
466,0.7285
467,0.3057
468,0.3498
469,4.5758
470,4.3816
471,12.2468
472,27.4802
473,14.0709
474,13.0855
475,6.6461
476,11.6163
477,9.6075
478,0.6443
479,3.2246
480,3.1112
481,0.9223
482,5.4891
483,0.7118
484,18.0516
485,18.4772
486,1.2928
487,1.0341
488,37.5568
489,3.7645
490,8.4544
491,7.3767
492,15.2788
493,12.4386
494,27.4619
495,2.2622
496,12.3913
497,5.1571
498,8.5779
499,49.7342
500,6.4938
