obs_id,interarrival_time
1,2.2903
2,10.0897
3,2.2299
4,18.7514
5,0.9009
6,3.1786
7,4.3161
8,8.2083
9,5.1456
10,9.2114
11,0.9185
12,9.5729
13,14.7527
14,8.6059
15,2.3112
16,1.3666
17,1.9032
18,0.7671
19,6.565
20,4.7864
21,4.7931
22,5.8103
23,13.7474
24,0.4099
25,3.0566
26,1.4853
27,7.4531
28,12.7437
29,2.0335
30,3.7636
31,0.2885
32,3.8078
33,2.2192
34,5.8191
35,4.0186
36,9.682
37,3.3205
38,3.8219
39,11.2261
40,3.4714
41,5.9326
42,1.5194
43,8.5286
44,6.1997
45,6.4402
46,6.7715
47,5.6504
48,0.4868
49,2.2031
50,12.5716
51,10.5131
52,10.3175
53,17.6046
54,5.0315
55,4.6639
56,4.1607
57,0.4035
58,4.4163
59,7.9678
60,1.9801
61,13.4119
62,6.036
63,7.1824
64,5.638
65,10.2337
66,3.7161
67,4.6885
68,1.6473
69,4.3386
70,1.6314
71,10.8347
72,5.1135
73,5.0351
74,9.6072
75,1.4935
76,1.5573
77,18.5046
78,5.5118
79,5.0856
80,0.0994
81,2.9793
82,13.8563
83,10.0318
84,3.0636
85,6.3308
86,2.7965
87,3.6231
88,2.6085
89,1.4798
90,4.7346
91,4.0403
92,18.4489
93,0.6979
94,3.5889
95,8.661
96,4.3663
97,15.9134
98,2.9177
99,0.9913
100,12.9113
101,0.4245
102,3.3485
103,2.5019
104,5.5252
105,7.7953
106,3.8455
107,11.308
108,0.2835
109,2.3483
110,5.2397
111,2.8573
112,0.9329
113,1.3742
114,3.0336
115,2.525
116,7.8491
117,7.1076
118,6.7224
119,5.8339
120,8.3839
121,17.7485
122,2.0946
123,12.9261
124,0.0905
125,18.2301
126,0.634
127,0.7159
128,3.4191
129,0.9998
130,0.0741
131,0.0004
132,2.0058
133,10.4845
134,0.7716
135,5.5104
136,10.3541
137,1.3059
138,2.0476
139,30.3801
140,7.2383
141,4.3336
142,11.1701
143,0.654
144,9.2855
145,8.2003
146,2.7181
147,2.1821
148,4.9402
149,8.7119
150,9.6365
151,13.5628
152,1.2071
153,1.6616
154,8.1112
155,1.2097
156,0.0541
157,1.4294
158,2.1738
159,2.1894
160,6.7516
161,6.089
162,3.5569
163,7.7964
164,4.0271
165,6.2837
166,18.8724
167,8.4882
168,1.8842
169,1.0296
170,17.0623
171,6.4775
172,10.7154
173,5.2207
174,5.2365
175,43.2358
176,14.8907
177,0.3966
178,1.1352
179,2.6856
180,2.5521
181,1.1789
182,6.6478
183,3.3331
184,13.0223
185,2.617
186,4.4748
187,3.2834
188,6.3768
189,1.7333
190,10.6104
191,20.52
192,0.4147
193,0.0262
194,3.1917
195,4.6377
196,7.7824
197,3.2051
198,3.7357
199,5.5774
200,3.0187
201,20.4839
202,0.4001
203,0.7218
204,4.4756
205,1.8581
206,10.3759
207,2.5594
208,1.3722
209,1.0597
210,5.8069
211,1.0716
212,3.3969
213,6.8597
214,7.7438
215,2.8766
216,0.283
217,2.7069
218,3.259
219,3.7142
220,1.6377
221,25.2398
222,8.3054
223,0.5626
224,0.5079
225,3.5854
226,9.6086
227,0.52
228,9.6837
229,6.424
230,10.0164
231,10.374
232,8.3214
233,5.6764
234,12.5595
235,6.0008
236,5.1117
237,4.5024
238,8.4022
239,2.0924
240,25.7611
241,9.6576
242,1.0742
243,7.6176
244,7.9146
245,0.7873
246,3.3649
247,2.0549
248,1.2081
249,1.7706
250,8.2166
251,4.2258
252,2.0923
253,1.3837
254,10.8168
255,3.6994
256,7.2508
257,3.3343
258,1.792
259,8.4068
260,4.3394
261,6.2048
262,11.3491
263,15.4494
264,7.6483
265,5.8575
266,9.5481
267,1.9424
268,2.3326
269,7.8625
270,2.3174
271,2.2818
272,12.7589
273,10.1511
274,2.3911
275,3.636
276,10.4605
277,0.5919
278,7.6553
279,1.1258
280,11.7217
281,3.8457
282,1.053
283,0.0029
284,0.1948
285,2.3814
286,9.2253
287,0.2169
288,8.0245
289,13.4246
290,2.5737
291,8.0242
292,0.0984
293,0.7794
294,1.7146
295,3.3251
296,7.4292
297,10.4371
298,2.8542
299,4.3168
300,24.0911
301,4.7563
302,3.1953
303,10.3439
304,32.7602
305,3.2376
306,6.6213
307,14.7701
308,2.683
309,3.5322
310,4.6694
311,5.142
312,8.0286
313,7.2038
314,3.2753
315,15.4084
316,3.4144
317,1.6144
318,5.8629
319,11.0098
320,1.8764
321,5.3694
322,2.3968
323,0.1976
324,1.6689
325,7.0255
326,8.432
327,1.5889
328,5.9707
329,3.3656
330,5.571
331,0.2337
332,0.9439
333,1.302
334,2.0528
335,3.2865
336,3.4196
337,3.3466
338,0.8379
339,17.341
340,2.5159
341,4.8181
342,11.9055
343,0.8213
344,5.0223
345,2.9868
346,10.0709
347,3.9544
348,2.5951
349,0.0801
350,16.2122
351,0.6845
352,5.8663
353,2.2261
354,19.7711
355,0.9992
356,16.2603
357,24.8166
358,1.8958
359,0.6698
360,6.3777
361,1.8351
362,2.3524
363,8.1168
364,12.7149
365,5.5797
366,9.8559
367,0.7329
368,15.024
369,0.8263
370,0.7165
371,1.8321
372,4.4969
373,1.0948
374,15.4622
375,1.5137
376,12.8724
377,14.9798
378,3.4122
379,13.4825
380,9.9888
381,3.1325
382,10.0644
383,6.9149
384,1.9887
385,22.3034
386,5.8254
387,11.203
388,3.3847
389,6.419
390,1.7039
391,2.2001
392,8.6048
393,12.2039
394,24.5996
395,4.1973
396,0.1778
397,1.1004
398,1.1467
399,20.0265
400,2.2415
401,2.3368
402,16.2656
403,4.7489
404,2.5889
405,0.1893
406,0.5919
407,1.4718
408,1.6085
409,3.6416
410,5.4344
411,1.6822
412,5.2029
413,3.3641
414,10.6774
415,4.598
416,4.1995
417,2.899
418,4.0104
419,2.1892
420,1.7262
421,5.1962
422,2.4373
423,2.3259
424,19.1568
425,6.949
426,3.0465
427,6.6514
428,10.7969
429,23.7469
430,5.0117
431,0.348
432,4.2996
433,0.516
434,20.5085
435,0.9377
436,0.4284
437,13.8679
438,3.4613
439,4.3282
440,3.5112
441,15.9225
442,5.235
443,3.8574
444,0.6798
445,17.5709
446,1.5777
447,16.5821
448,0.2962
449,12.2552
450,3.3678
451,26.0038
452,10.656
453,0.7757
454,0.8146
455,2.3613
456,21.0146
457,5.3859
458,5.3022
459,10.6923
460,7.3812
461,7.1358
462,11.5111
463,5.0889
464,7.9187
465,2.9825
466,4.5211
467,5.8316
468,3.0123
469,10.3463
470,14.2919
471,1.1033
472,11.0345
473,0.4107
474,1.413
475,5.0825
476,11.5891
477,21.9237
478,6.2567
479,0.355
480,9.157
481,1.3904
482,1.5103
483,0.5673
484,3.9749
485,2.4201
486,12.2705
487,7.5875
488,2.634
489,2.1762
490,4.3076
491,1.7244
492,0.3116
493,2.6472
494,1.7355
495,7.8454
496,6.3482
497,1.5488
498,11.9579
499,4.9597
500,18.0784
501,8.9276
502,13.9353
503,19.0702
504,3.0954
505,6.6048
506,1.0391
507,1.6697
508,1.3722
509,3.7074
510,7.4781
511,5.0635
512,0.1716
513,1.4548
514,7.4969
515,6.0935
516,1.9145
517,2.1921
518,9.057
519,4.3978
520,5.4539
521,3.4168
522,8.1797
523,13.3785
524,20.1231
525,6.7406
526,3.1005
527,0.9492
528,0.2187
529,18.5489
530,8.1046
531,2.9784
532,5.737
533,11.3329
534,23.3139
535,1.3276
536,5.4424
537,9.5491
538,27.8916
539,8.5234
540,5.8589
541,6.9199
542,2.1197
543,6.888
544,11.8956
545,1.8536
546,16.1517
547,0.6608
548,2.9253
549,1.0874
550,0.5136
551,22.0621
552,1.9051
553,4.3246
554,5.8968
555,0.844
556,2.0673
557,1.9547
558,2.2363
