obs_id,service_time
1,10.2667
2,4.8292
3,3.0467
4,3.4041
5,4.4255
6,6.1309
7,0.6604
8,2.1632
9,4.3187
10,9.2286
11,8.9924
12,11.6963
13,8.7033
14,2.0194
15,4.1119
16,8.7386
17,8.1662
18,3.543
19,6.0103
20,2.8492
21,0.968
22,3.7938
23,3.6162
24,2.7362
25,6.1483
26,3.4492
27,5.5504
28,7.0946
29,17.5939
30,3.844
31,9.316
32,4.9321
33,5.1445
34,3.885
35,4.6182
36,3.4749
37,8.2408
38,2.2353
39,0.9576
40,2.6608
41,2.4247
42,2.6596
43,3.7268
44,2.668
45,3.6854
46,2.675
47,5.6358
48,17.49
49,4.8591
50,2.7685
51,0.2659
52,13.82
53,5.0627
54,3.6596
55,0.2923
56,3.812
57,4.5888
58,2.6833
59,1.1678
60,1.0878
61,13.9644
62,4.4897
63,2.6813
64,4.2889
65,4.0679
66,1.0304
67,7.8706
68,3.5843
69,4.5365
70,10.9851
71,1.205
72,2.1332
73,5.2638
74,7.7637
75,2.4713
76,2.5947
77,6.5434
78,16.607
79,4.3981
80,2.1271
81,1.6013
82,3.7181
83,7.5184
84,21.4032
85,3.2414
86,4.4035
87,12.4548
88,5.2003
89,4.8842
90,10.8928
91,4.4823
92,1.7304
93,9.4351
94,0.8512
95,8.3787
96,4.1412
97,3.2694
98,3.2014
99,3.7068
100,2.8942
101,5.764
102,2.9794
103,4.1648
104,0.4913
105,4.1437
106,2.846
107,7.9598
108,3.3803
109,7.1751
110,6.6124
111,6.7416
112,3.4777
113,4.3547
114,5.6532
115,4.4571
116,3.3862
117,1.8833
118,4.2022
119,0.9616
120,0.4433
121,1.4992
122,6.6865
123,4.9586
124,6.7341
125,2.3087
126,8.5247
127,1.0887
128,1.5549
129,8.4229
130,4.695
131,6.7627
132,4.9741
133,2.6037
134,1.3784
135,0.613
136,13.1563
137,0.8136
138,10.6481
139,4.5027
140,5.0882
141,4.8448
142,6.1758
143,2.1157
144,0.363
145,2.5573
146,5.8065
147,1.5698
148,8.6689
149,3.7609
150,1.4307
151,4.6605
152,5.736
153,6.0382
154,8.4294
155,0.9999
156,8.4374
157,8.9759
158,1.3815
159,1.6704
160,7.0058
161,2.9951
162,9.891
163,11.785
164,1.4291
165,2.078
166,4.4803
167,0.3478
168,0.6363
169,1.8674
170,14.5359
171,5.0098
172,2.3923
173,1.6576
174,1.3656
175,2.547
176,2.4225
177,3.4501
178,5.9366
179,3.8872
180,7.3025
181,3.2531
182,12.3913
183,7.178
184,4.908
185,5.9512
186,2.607
187,3.4049
188,3.2994
189,2.1486
190,1.1379
191,6.1861
192,8.1225
193,5.5643
194,3.8782
195,16.1767
196,2.3659
197,5.0335
198,8.9419
199,1.5113
200,6.5298
201,12.9371
202,4.1338
203,4.7022
204,2.3782
205,5.902
206,2.1017
207,3.9454
208,0.9929
209,0.1473
210,2.8063
211,2.7683
212,3.0124
213,7.0259
214,8.2816
215,5.1916
216,6.6806
217,2.1565
218,1.7109
219,5.9892
220,1.4916
221,1.3321
222,21.8665
223,4.3427
224,2.7698
225,2.5084
226,1.024
227,5.1108
228,3.2468
229,8.1194
230,6.1249
231,3.1571
232,0.4882
233,4.3517
234,4.0564
235,0.363
236,5.6242
237,1.4422
238,8.4142
239,3.8666
240,2.4477
241,4.8286
242,4.6069
243,4.4795
244,7.6565
245,5.0511
246,2.2614
247,3.3276
248,10.5206
249,2.085
250,5.5582
251,7.8539
252,5.9541
253,4.3723
254,4.9002
255,6.2275
256,2.0628
257,4.0769
258,16.116
259,5.6836
260,4.491
261,3.0618
262,2.0837
263,5.0228
264,5.2837
265,3.8676
266,20.4046
267,2.2492
268,1.8046
269,3.0978
270,3.965
271,1.9877
272,4.9333
273,5.3347
274,6.758
275,2.6999
276,9.935
277,6.4402
278,2.209
279,1.9797
280,3.2724
281,5.3443
282,5.92
283,6.4316
284,15.4465
285,0.6955
286,3.7858
287,14.61
288,6.9769
289,1.7023
290,4.7504
291,3.6114
292,3.5101
293,2.6566
294,4.4666
295,8.7192
296,2.861
297,6.4655
298,7.2737
299,9.8805
300,1.9492
301,4.2032
302,2.4028
303,4.473
304,4.4504
305,1.5299
306,4.673
307,15.9522
308,5.9365
309,1.2404
310,1.8403
311,4.0417
312,1.8799
313,9.5272
314,1.0931
315,5.9661
316,0.8622
317,3.9926
318,1.6366
319,6.7476
320,8.473
321,5.3327
322,8.7389
323,0.24
324,4.6288
325,5.9061
326,6.4551
327,5.6601
328,6.5542
329,4.5897
330,1.2532
331,2.6399
332,9.5601
333,8.847
334,5.8288
335,6.8475
336,8.1519
337,5.7809
338,9.3785
339,9.1708
340,19.2053
341,2.7342
342,2.7763
343,5.4761
344,14.0544
345,9.8767
346,7.4435
347,10.3296
348,5.9818
349,3.3038
350,16.3386
351,5.6724
352,9.0366
353,0.2371
354,0.3242
355,4.7379
356,1.8806
357,5.0662
358,2.7731
359,21.0009
360,8.5547
361,10.9979
362,0.4311
363,7.374
364,3.623
365,11.1376
366,6.6431
367,4.0476
368,1.3927
369,4.6701
370,9.415
371,11.5654
372,3.13
373,18.8446
374,8.9243
375,1.9168
376,1.5282
377,3.8071
378,3.1235
379,6.016
380,4.3058
381,3.3442
382,0.9191
383,6.7873
384,0.8325
385,8.9442
386,0.5014
387,0.7774
388,1.9086
389,2.897
390,2.4142
391,2.8864
392,5.1416
393,1.9502
394,5.1772
395,0.2424
396,1.8827
397,0.7331
398,8.8739
399,2.1951
400,6.4888
401,0.584
402,11.4377
403,4.501
404,4.1126
405,0.9317
406,1.6685
407,3.4316
408,1.731
409,8.2764
410,4.3971
411,1.7517
412,7.41
413,3.0669
414,7.1739
415,2.6673
416,6.1685
417,2.9772
418,8.2785
419,0.6005
420,1.2804
421,3.6873
422,2.2852
423,2.9005
424,6.689
425,2.8488
426,5.3165
427,1.8702
428,0.4478
429,7.1423
430,13.2092
431,4.9086
432,3.8513
433,4.522
434,10.3827
435,4.9532
436,7.3909
437,7.1599
438,8.7711
439,3.7849
440,2.6363
441,6.2188
442,8.3436
443,9.4621
444,11.2603
445,7.8245
446,2.5113
447,4.9041
448,4.5789
449,4.2022
450,6.2279
451,3.5099
452,3.514
453,13.7494
454,3.9448
455,8.7271
456,9.08
457,5.0073
458,3.6271
459,1.9424
460,0.8181
461,6.5541
462,5.626
463,7.2601
464,2.784
465,14.6825
466,5.9968
467,3.827
468,0.4099
469,3.0565
470,7.5062
471,11.0637
472,4.3171
473,12.2967
474,1.8067
475,5.7523
476,5.8725
477,6.5921
478,4.7853
479,5.5223
480,1.7659
481,10.3507
482,8.1368
483,5.3624
484,8.2704
485,10.5762
486,6.5233
487,15.7383
488,6.9175
489,2.0355
490,5.1629
491,8.4964
492,10.5831
493,4.8629
494,1.8894
495,3.5641
496,1.1782
497,7.4307
498,3.0246
499,2.337
500,7.9485
501,12.1314
502,2.328
503,4.8871
504,3.6858
505,10.9163
506,4.0312
507,1.7253
508,4.1839
509,9.4048
510,3.5136
511,2.549
512,3.8893
513,1.7786
514,3.6819
515,2.719
516,17.6422
517,0.5527
518,2.0273
519,2.5473
520,1.7902
521,5.7936
522,2.291
523,1.0472
524,4.562
525,3.3507
526,2.3884
527,10.732
528,5.937
529,5.4611
530,6.0334
531,5.8104
532,3.4916
533,2.3126
534,4.6391
535,3.4397
536,0.5427
537,1.6445
538,3.0943
539,8.0681
540,4.6546
541,1.9579
542,1.5095
543,9.2871
544,3.6234
545,0.0742
546,3.8114
