district_id,x_km,y_km,type,incident_rate_per_day
0,2.5,2.5,residential,0.30
1,7.5,2.5,residential,0.28
2,12.5,2.5,industrial,0.35
3,17.5,2.5,residential,0.27
4,22.5,2.5,residential,0.30
5,2.5,7.5,residential,0.28
6,7.5,7.5,residential,0.32
7,12.5,7.5,residential,0.38
8,17.5,7.5,residential,0.31
9,22.5,7.5,residential,0.28
10,2.5,12.5,industrial,0.40
11,7.5,12.5,residential,0.35
12,12.5,12.5,commercial,0.55
13,17.5,12.5,residential,0.34
14,22.5,12.5,industrial,0.42
15,2.5,17.5,residential,0.29
16,7.5,17.5,residential,0.31
17,12.5,17.5,residential,0.37
18,17.5,17.5,residential,0.30
19,22.5,17.5,residential,0.29
20,2.5,22.5,residential,0.27
21,7.5,22.5,residential,0.29
22,12.5,22.5,industrial,0.38
23,17.5,22.5,residential,0.28
24,22.5,22.5,residential,0.27
